id,creditlimit,n_cards,os_balance,os_billing,tot_cash_advance_trx,tot_retail_trx,remaining_unpaid_balance,branchcode,rasio_pembayaranpayment_ratio,overlimit_pct,payment_ration_3months,payment_ration_6months,deliquncy_score,good_bad_flag,loan_tenure,total_trx,remaining_statement_balance_per_n_cards,remaining_statement_balance_per_limit,total_trx_per_limit,tot_trx_3months_per_limit,tot_trx_6months_per_limit,utilization_Rate_3months,utilization_Rate_6months
20210100001,7000000.0,2,36158,23437.0,0.0,94.0,26323.0,I,102.19,0.0,74.78,100.0,0,0,15.41666667,94.0,13161.5,0.003760429,1.34e-05,0.01171875,0.017809524,0.013228036,0.021949332999999998
20210100002,10000000.0,2,268691,254564.0,0.0,1012.0,0.0,A,0.0,0.0,0.0,0.0,0,0,0.75,1012.0,0.0,0.0,0.00010120000000000001,0.0,0.0,0.004231625,0.0003
20210100003,28000000.0,3,6769149,4159779.0,0.0,0.0,0.0,A,100.0,0.0,100.0,100.91,0,0,10.75,0.0,0.0,0.0,0.0,0.040517857000000004,0.047703225999999994,0.249389277,0.267852798
20210100004,21000000.0,4,3496732,111231.0,0.0,2536660.0,581334.0,G,100.0,0.0,25.01,22.64,0,0,19.75,2536660.0,145333.5,0.027682571,0.120793333,0.055970595,0.016850794,0.10191210699999999,0.346634603
20210100005,10000000.0,2,9402085,6099283.0,0.0,2666558.0,5951865.0,A,95.99,0.0,97.49,99.84,0,0,1.6666666669999999,2666558.0,2975932.5,0.5951865,0.2666558,0.323027,0.131162467,0.707865025,0.336571367
20210100006,80000000.0,2,6227439,2081248.0,0.0,3690250.0,4613435.0,A,0.0,0.0,28.46,42.03,0,0,10.25,3690250.0,2306717.5,0.057667937999999995,0.046128125,0.017184375,0.117513096,0.038963606,0.18186342100000003
20210100007,4000000.0,2,3906290,2043682.0,0.0,230400.0,3314046.0,A,18.47,0.0,24.95,17.89,0,0,4.666666667,230400.0,1657023.0,0.8285115,0.0576,0.01875,0.16666666800000002,1.014775813,0.977230833
20210100008,20000000.0,4,9534837,3692028.0,0.0,9327612.0,7881069.0,A,58.55,0.0,105.24,166.67,0,0,0.75,9327612.0,1970267.25,0.39405345,0.4663806,0.2392893,0.24159869399999997,0.261753338,0.22402625
20210100011,84000000.0,4,55520052,12626615.0,0.0,31036235.0,0.0,A,100.0,0.0,100.0,100.0,0,0,14.5,31036235.0,0.0,0.0,0.36947898799999995,0.164046339,0.19530254,0.39665598799999996,0.23033644399999997
20210100012,23000000.0,3,7004631,610083.0,0.0,0.0,0.0,A,100.13,0.0,74.99,18.52,0,0,10.66666667,0.0,0.0,0.0,0.0,0.057634076,0.0,0.342642826,0.497703464
20210100013,9000000.0,2,5664700,2334602.0,0.0,2878725.0,4494421.0,B,30.8,0.0,68.4,100.0,0,0,20.83333333,2878725.0,2247210.5,0.499380111,0.319858333,0.09842719400000001,0.297481481,0.402411556,0.46713437
20210100014,7000000.0,3,7691430,6463709.0,0.0,0.0,7398073.0,E,0.0,10.02,13.04,26.66,0,1,1.0,0.0,2466024.333,1.056867571,0.0,0.067480357,0.079714286,1.039140607,0.9294158570000001
20210100015,7000000.0,3,8640053,8035169.0,0.0,326100.0,8269767.0,A,17.53,23.26,29.47,24.24,0,0,6.666666667,326100.0,2756589.0,1.1813952859999999,0.046585714,0.250685714,0.23931904699999998,1.163175571,1.416155476
20210100016,3000000.0,2,188958,189816.0,0.0,722.0,0.0,B,0.0,0.0,65.25,100.0,0,0,2.0,722.0,0.0,0.0,0.00024066700000000002,0.016566,0.0,0.02255475,0.016172
20210100018,5000000.0,3,5959226,5579255.0,0.0,380000.0,5902767.0,G,20.97,19.54,18.29,13.26,0,0,2.916666667,380000.0,1967589.0,1.1805534,0.076,0.137606,0.112229534,1.0560083,0.8936248
20210100019,5000000.0,2,5309091,5309314.0,0.0,0.0,5310555.0,A,9.17,6.21,7.43,14.26,0,1,2.833333333,0.0,2655277.5,1.062111,0.0,0.02369,0.2685276,0.98835345,0.9642601999999999
20210100022,3000000.0,2,1178925,879730.0,0.0,331790.0,0.0,E,95.69,0.0,49.57,37.33,0,0,2.0,331790.0,0.0,0.0,0.110596667,0.0,0.292907223,0.545604083,0.508366667
20210100024,20000000.0,2,22533915,22419126.0,0.0,0.0,22442690.0,A,10.51,12.75,7.49,12.2,0,1,0.916666667,0.0,11221345.0,1.1221345,0.0,0.09949698800000001,0.11172818400000001,1.153388363,1.131109884
20210100025,20000000.0,2,87473,76472.0,0.0,9653.0,0.0,A,0.0,0.0,0.0,0.0,0,0,2.25,9653.0,0.0,0.0,0.00048265,0.000478325,0.0,0.002669388,0.0
20210100026,5000000.0,2,1488988,1256574.0,0.0,1305074.0,0.0,K,100.0,0.0,76.11,74.5,0,0,2.583333333,1305074.0,0.0,0.0,0.2610148,0.16825915,0.184507,0.25309175,0.11664453400000001
20210100027,23000000.0,3,11652028,11427308.0,0.0,0.0,11408361.0,F,29.68,0.0,12.29,14.46,0,0,12.75,0.0,3802787.0,0.496015696,0.0,0.044881717,0.036325348,0.469491978,0.43438776799999995
20210100028,75000000.0,5,34400963,15919380.0,0.0,19725000.0,0.0,A,100.0,0.0,100.0,100.0,0,0,11.75,19725000.0,0.0,0.0,0.263,0.19947779999999998,0.24868380399999998,0.35895802299999996,0.39421804
20210100029,8000000.0,3,4273043,253948.0,0.0,4113189.0,0.0,F,100.0,0.0,50.0,33.33,0,0,3.5,4113189.0,0.0,0.0,0.514148625,0.158328125,0.027233499999999997,0.14023006300000002,0.063228584
20210100030,9000000.0,2,8274519,8895441.0,0.0,453615.0,8187963.0,A,0.0,0.0,10.31,9.82,0,0,2.75,453615.0,4093981.5,0.9097736670000001,0.050401667000000004,0.0578,0.073952963,0.9114989720000001,0.8830561109999999
